year_of_publication,count
1480,1
1525,1
1567,2
1590,1
1591,1
1610,2
1612,1
1614,4
1618,1
1619,2
1621,3
1623,1
1625,2
1629,1
1630,1
1634,8
1635,6
1636,6
1643,2
1646,2
1647,9
1653,4
1654,3
1655,7
1659,5
1660,3
1661,5
1662,7
1664,1
1665,7
1666,13
1667,1
1668,3
1669,22
1670,3
1671,6
1672,4
1674,5
1675,21
1676,1
1678,3
1679,1
1680,3
1681,10
1682,2
1683,3
1684,19
1685,4
1686,1
1688,4
1689,3
1690,5
1691,9
1692,9
1693,6
1694,5
1695,7
1696,17
1697,20
1698,1
1699,1
1700,3
1701,17
1702,3
1703,7
1704,10
1705,9
1706,17
1708,4
1709,1
1710,2
1711,1
1712,2
1713,5
1714,17
1715,18
1716,18
1718,2
1719,7
1720,2
1721,2
1722,8
1723,13
1724,1
1725,9
1728,3
1729,1
1731,6
1732,5
1733,5
1734,5
1735,4
1736,3
1737,10
1739,4
1740,7
1741,2
1743,8
1744,2
1745,3
1748,7
1749,1
1750,2
1751,5
1752,3
1753,2
1754,4
1755,21
1756,8
1757,6
1758,11
1760,3
1762,8
1763,7
1764,36
1765,2
1767,19
1768,7
1769,10
1770,1
1771,7
1772,19
1773,2
1774,8
1775,6
1776,5
1777,2
1778,1
1779,20
1780,4
1781,23
1783,1
1784,2
1786,22
1787,7
1788,7
1789,1
1791,3
1792,1
1793,7
1795,22
1796,10
1797,4
1799,2
1800,7
1801,7
1802,3
1803,1
1804,1
1805,6
1807,3
1808,7
1810,9
1811,6
1814,10
1815,12
1816,14
1817,3
1818,17
1819,16
1820,28
1821,10
1822,9
1823,24
1824,30
1825,8
1826,18
1827,23
1828,8
1829,5
1830,11
1834,7
1835,3
1836,3
1838,4
1840,2
1841,10
1847,6
1848,1
1851,1
1852,3
1855,2
1867,1
1873,4
1874,1
1875,1
1876,2
1877,2
1878,1
1879,5
1880,2
1881,1
1882,3
1883,11
1884,4
1885,5
1887,9
1888,10
1889,2
1890,6
1891,2
1892,3
1893,9
1894,13
1895,21
1896,11
1897,6
1898,11
1899,14
1900,13
1901,15
1902,9
1903,12
1904,11
1905,6
1906,15
1907,23
1908,20
1909,20
1910,17
1911,33
1912,27
1913,16
1914,14
1915,33
1916,26
1917,15
1918,23
1919,21
1920,24
1921,30
1922,23
1923,22
1924,21
1925,37
1926,23
1927,20
1928,25
1929,18
1930,28
1931,21
1932,26
1933,13
1934,19
1935,24
1936,24
1937,15
1938,37
1939,21
1940,23
1941,14
1942,32
1943,13
1944,18
1945,20
1946,22
1947,25
1948,26
1949,32
1950,52
1951,48
1952,39
1953,30
1954,48
1955,35
1956,34
1957,25
1958,62
1959,71
1960,83
1961,52
1962,76
1963,123
1964,80
1965,92
1966,97
1967,118
1968,151
1969,158
1970,160
1971,177
1972,177
1973,217
1974,222
1975,266
1976,252
1977,259
1978,316
1979,278
1980,364
1981,389
1982,520
1983,471
1984,576
1985,594
1986,563
1987,741
1988,776
1989,868
1990,752
1991,804
1992,890
1993,870
1994,966
1995,972
1996,1106
1997,1107
1998,1130
1999,1162
2000,1329
2001,1504
2002,1503
2003,1659
2004,1899
2005,1956
2006,1785
2007,1938
2008,2163
2009,2332
2010,2130
2011,2325
2012,2149
2013,2267
2014,2442
2015,2858
2016,4306
2017,4694
2018,5434
2019,5135
2020,5118
2021,5729
2022,5940
2023,6169
2024,6942
2025,716
2026,14
